-0.6204627 0.3126092 -0.3271679 0.2866688
-0.1643031 0.2867945 -0.6631313 0.3118803
-0.6306572 0.3034386 -0.2763448 0.3041763
-0.8581088 0.3480741 -0.9008904 0.2911283
-0.4552198 0.2890455 -1.127237 0.3256196
-0.4028161 0.284807 -0.2578291 0.2936493
-0.1505845 0.3170839 -0.173746 0.2949713
-0.3618939 0.2843628 -0.7058862 0.3228518
-0.4073069 0.2864445 0.05016097 0.3167628
-2.070854e-15 0.3057803 -0.221555 0.2980871
-0.960462 0.3277531 -0.4795731 0.3119123
-0.0849046 0.2914353 -0.4095055 0.2872437
0.04558674 0.3019673 -0.4058358 0.301682
-0.2710438 0.3301675 -0.5986563 0.3066096
-0.04223601 0.2906532 -0.2113988 0.2911051
0.32396 0.2852287 0.04907756 0.3133214
-0.7291634 0.2878092 -1.225661 0.3135139
-0.7231952 0.3050014 0.1280519 0.2922965
-0.4263339 0.2933054 -1.225661 0.3135139
-0.1039897 0.322597 -0.9808293 0.2916667
-0.1245388 0.2882453 -0.5245245 0.2977749
-0.2962658 0.2915595 -0.2827681 0.2847225
-0.4454704 0.2858018 -0.9044563 0.3469303
-0.5478424 0.2923799 -0.9382696 0.3059263
-0.6061358 0.2969906 -0.7391835 0.290001
-0.7418251 0.3319723 -0.2094434 0.2897429
-0.3053816 0.3200679 -0.2572955 0.3215458
-0.6281424 0.2920488 -0.2466415 0.2871211
-0.6090641 0.3094803 -0.3718742 0.2883707
0.04717856 0.3071967 -0.4454704 0.2858018
-0.6023722 0.320684 -0.4521741 0.288035
-1.045969 0.3032737 -0.2962658 0.2915595
-0.4833325 0.2982589 -0.4480718 0.3010011
-0.4183685 0.3254136 -0.2483862 0.2881479
-0.5891575 0.3039774 0.08793007 0.2965907
-0.5314187 0.2998443 -0.1682514 0.2902403
-0.2853208 0.2860265 -0.1039897 0.322597
-0.315081 0.3008638 -0.2082179 0.3231526
-0.7230001 0.3272052 -1.124255 0.3173031
-0.6760944 0.3152225 -0.3254224 0.3058744
-0.08052638 0.28381 -0.5137517 0.3080179
-0.3483067 0.296011 -0.4521741 0.288035
-0.6931472 0.3082206 -0.4058358 0.301682
-0.169899 0.2916667 -0.1267517 0.2908036
